;Male;Female;;;;
Business, administration and law;9,8;12,3;;;;
Engineering, manufacturing and construction;11,3;4,2;22,1;;;
Health and welfare;3,9;10,2;15,5;;;
Arts and humanities;4,0;7,5;14,1;;;
Social sciences, journalism and information;3,4;6,4;11,5;;;
Education;1,5;5,9;9,7;;;
Natural sciences, mathematics and statistics;3,3;3,5;7,4;;;
Information and communication technologies;4,2;1,1;6,9;;;
Services;2,6;2,4;5,2;;;
Agriculture, forestry, fisheries and veterinary;1,0;1,0;4,9;;;
Unknown;0,3;0,3;2,0;;;
Generic programmes and qualifications;0,0;0,0;0,6;;;
;;;0,0;;;
;;;;;;
Source: Eurostat (online data code: educ_uoe_enrt03);;;;;;
source link: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Tertiary_education_statistics;;;;;;